"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Ezreal","ADC","Good","49.3","-8.04","48.35","89.1","9.95","1.56","2.49","9.24"
"Fiddlesticks","JUNGLE","Weak","43.57","2.39","48.78","25.74","0.84","1","2.34","9.24"
"Fiddlesticks","SUPPORT","Weak","41.63","-2.77","49.64","67.81","1.98","0.99","2.08","9.24"
"Fiora","TOP","God ","63.45","-6.13","50.59","90.9","7.89","11.54","1.77","9.24"
"Fizz","MID","Strong","58.18","0.28","51.92","90.06","6.41","12.37","2.61","9.24"
"Galio","MID","Fair","45.02","-1.72","48.25","55.03","1.92","0.52","2.59","9.24"
"Galio","SUPPORT","Bad","35.7","-3.67","47.56","33.42","0.98","0.52","2.22","9.24"
"Gangplank","TOP","Good","50.11","-0.8","48.45","84.22","3.97","2.01","2.32","9.24"
"Gangplank","MID","Weak","42.68","-1.01","48.11","14.6","0.66","2.01","2.53","9.24"
"Garen","TOP","Strong","62.1","-29.66","49.41","82.11","7.41","10.06","2.12","9.24"
"Garen","MID","Fair","47.29","-6.39","51.62","12.64","0.98","10.91","2.43","9.24"
"Gnar","TOP","Fair","43.93","2.47","48.19","90.97","2.42","0.63","2.04","9.24"
"Gragas","JUNGLE","Fair","46.51","0","47.74","77.8","4.07","0.49","2.48","9.24"
"Gragas","SUPPORT","Bad","32.78","-8.26","46.42","13.01","0.7","0.49","2.22","9.24"
"Graves","JUNGLE","Good","51.93","-0.2","50.99","89.09","3.86","0.54","2.45","9.24"
"Hecarim","JUNGLE","Good","50.93","1.26","50.48","85.68","3.31","1.56","2.57","9.24"
"Hecarim","TOP","Weak","43.78","0","50.37","12.43","0.31","1.56","2.32","9.24"
"Heimerdinger","MID","Fair","46.67","-2","52.02","28.51","1.26","3.28","2.07","9.24"
"Heimerdinger","ADC","Weak","40.92","-1.55","51.72","46.91","1.96","3.23","2.28","9.24"
"Heimerdinger","TOP","Weak","40.92","0.74","49.32","22.85","1.04","3.28","1.77","9.24"
"Illaoi","TOP","Fair","47.72","2.4","49.99","92.13","3.22","6.71","1.65","9.24"
"Irelia","TOP","Good","51.5","-3.54","46.38","56.26","6.61","5.98","1.82","9.24"
"Irelia","MID","Fair","45.25","0.42","46.46","41.37","4.65","5.98","2.02","9.24"
"Ivern","JUNGLE","Good","53.63","1.5","51.77","84.53","0.99","0.31","3.29","9.24"
"Janna","SUPPORT","Strong","62.26","4.05","53.18","96.48","5.92","0.46","3.03","9.24"
"Jarvan IV","JUNGLE","Strong","59.26","-2.81","51.33","93","6.68","1.47","3.08","9.24"
"Jax","TOP","Strong","55.06","0.31","50.44","55.57","5.13","10.91","1.80","9.24"
"Jax","JUNGLE","Fair","47.33","-1.86","48.19","40.64","4.99","11.4","2.04","9.24"
"Jayce","MID","Weak","42.05","1.54","48.24","29.68","0.65","0.42","2.34","9.24"
"Jayce","TOP","Weak","38.94","4.8","46.89","67.09","1.52","0.42","1.97","9.24"
"Jhin","ADC","God ","65.18","0.17","51.46","94.09","13.8","2.72","2.83","9.24"
"Jinx","ADC","Strong","57.48","-4.9","51.44","96.38","10.78","1.65","2.51","9.24"
"Kai'Sa","ADC","God ","69.06","-18.45","48.77","94.95","19.82","4.56","2.54","9.24"
"Kalista","ADC","Bad","32.51","9.45","48.34","92.51","1.24","0.17","2.29","9.24"
"Karma","SUPPORT","Good","49.02","2.77","49.06","81.55","4.43","0.37","2.68","9.24"
"Karma","MID","Fair","43.92","1.4","48.8","10.82","0.57","0.39","2.67","9.24"
"Karthus","JUNGLE","Good","51.01","0.03","51.11","78.33","2.57","3.9","2.50","9.24"
"Karthus","MID","Weak","42.01","-0.14","48.7","13.85","0.32","2.84","2.31","9.24"
"Kassadin","MID","Strong","61.48","2.84","54.76","87.79","6.26","12.42","2.61","9.24"
"Kassadin","TOP","Good","53.49","6.15","54.83","10.61","0.75","12.42","2.41","9.24"
"Katarina","MID","Strong","56.16","0.51","50.54","90.85","7.31","7.1","2.36","9.24"
"Kayle","TOP","Good","49.66","0.89","50.82","77.79","2.81","1.36","2.06","9.24"
"Kayle","MID","Good","49.22","-0.77","54.08","16.69","0.54","1.43","2.36","9.24"
"Kayn","JUNGLE","Good","54.1","-0.7","50.18","93.5","7.03","3.96","2.28","9.24"
"Kennen","MID","Fair","46.68","1.47","51.78","16.89","0.46","1.09","2.47","9.24"
"Kennen","TOP","Fair","46.42","-0.04","49.7","78.29","2.24","1.15","2.10","9.24"
"Kha'Zix","JUNGLE","Strong","57.32","-2.6","50.97","97.92","7.8","6.24","2.39","9.24"
"Kindred","JUNGLE","Fair","46.53","-1.13","49.67","93.07","2.74","0.63","2.11","9.24"
"Kled","TOP","Good","53.62","1.27","51.5","79.37","2.96","3.23","2.47","9.24"
"Kled","MID","Good","51.06","-4.39","53.57","17.25","0.62","3.23","2.95","9.24"
"Kog'Maw","ADC","Weak","41.21","10.31","52.66","86.14","1.26","0.13","2.23","9.24"
"LeBlanc","MID","Good","50.88","-1.18","47.38","92.26","5.47","8.1","2.76","9.24"
"Lee Sin","JUNGLE","God ","92.19","0.03","48.96","97.15","28.76","23.88","2.56","9.24"
"Leona","SUPPORT","God ","78.54","13.35","51.09","96.22","12.57","18.65","2.41","9.24"
"Lissandra","MID","Fair","47.21","1.48","50.55","82.24","1.62","0.46","2.54","9.24"
"Lissandra","TOP","Weak","41.29","5.03","49.21","14.42","0.27","0.46","2.26","9.24"
"Lucian","ADC","God ","63.58","-2.64","49.65","77.07","15.93","3.67","2.54","9.24"
"Lucian","MID","Fair","45.69","2.9","49.24","12.16","2.36","3.67","2.24","9.24"
"Lucian","TOP","Fair","44.28","0","49.5","10.37","1.98","3.67","1.86","9.24"
"Lulu","SUPPORT","Strong","55.66","2.5","50.73","89.29","5.11","1.54","3.03","9.24"
"Lux","SUPPORT","Strong","55.38","4.26","47.51","56.92","8.28","2.99","2.49","9.24"
"Lux","MID","Strong","54.91","2.68","51.34","39.5","4.76","2.99","2.94","9.24"
"Malphite","TOP","Strong","58.84","3.58","52.57","53.92","4.05","3.42","2.54","9.24"
"Malphite","MID","Good","51.83","-0.15","54.39","13.05","1.23","3.65","2.64","9.24"
"Malphite","JUNGLE","Weak","40.96","-1.42","46.74","12.84","1.36","3.89","2.41","9.24"
"Malphite","SUPPORT","Bad","34.88","-8","45.2","25.47","2.66","3.89","2.10","9.24"
"Malzahar","MID","Good","49.62","-3.46","51.15","82.06","2.97","4.71","2.37","9.24"
"Malzahar","TOP","Fair","47.85","9.34","52.81","11.95","0.43","5.06","2.22","9.24"
"Maokai","JUNGLE","Fair","47.62","4.01","50.79","11.84","0.26","0.18","2.59","9.24"
"Maokai","TOP","Fair","47.51","1.73","50.72","55.88","1.24","0.16","2.46","9.24"
"Maokai","SUPPORT","Weak","40.38","-4.02","50.24","29.52","0.61","0.16","2.30","9.24"
"Master Yi","JUNGLE","God ","64.49","2.78","52.83","89.16","9.87","17.98","1.97","9.24"
"Miss Fortune","ADC","God ","64.26","-1.7","51.69","92.67","13.84","3.93","2.55","9.24"
"Mordekaiser","TOP","God ","92.56","3.43","51.94","82.39","13.55","28.17","1.99","9.24"
"Mordekaiser","MID","Strong","55.13","3.55","55.49","14.56","2.45","28.17","2.30","9.24"
"Morgana","SUPPORT","God ","78.82","13.19","48.35","89.86","11.03","36.83","2.61","9.24"
"Nami","SUPPORT","Strong","57.12","1.72","50.93","98.12","5.42","0.36","3.14","9.24"
"Nasus","TOP","Strong","55.8","-3.16","50.65","89.25","5.18","4.12","2.00","9.24"
"Nautilus","SUPPORT","God ","89.12","18.54","50.62","90.16","13.57","31.27","2.40","9.24"
"Neeko","MID","Fair","44.17","-1.9","48.62","54.21","1.87","0.65","2.27","9.24"
"Neeko","TOP","Bad","35.55","5.28","46.47","13.28","0.39","0.65","2.02","9.24"
"Neeko","SUPPORT","Bad","34.69","-1.53","47.82","26.52","0.85","0.65","1.95","9.24"
"Nidalee","JUNGLE","Good","50.02","-0.55","48.98","89.23","5","2.46","2.46","9.24"
"Nocturne","JUNGLE","Good","51.47","1.43","49.93","65.27","5.29","7.04","2.25","9.24"
"Nocturne","MID","Fair","48.57","2.1","52.78","21.63","1.39","7.04","2.24","9.24"
"Nocturne","TOP","Fair","46.76","3.17","52.17","12.23","0.84","7.38","2.01","9.24"
"Nunu","JUNGLE","Good","53.09","-3.03","51.51","88.1","2.87","0.79","2.76","9.24"
"Olaf","JUNGLE","Strong","58.76","-2.95","50.6","84.35","8.21","17.21","2.35","9.24"
"Olaf","TOP","Weak","43.19","8.74","49.6","14.09","1.26","16.16","1.90","9.24"
"Orianna","MID","Good","52.13","-1.97","49.98","91.21","4.66","0.64","2.76","9.24"
"Ornn","TOP","God ","63.24","-3.6","52.49","83.72","5.91","2.59","2.50","9.24"
"Pantheon","MID","Fair","46.51","1.33","50.74","25.76","1.2","4.53","2.44","9.24"
"Pantheon","TOP","Weak","42.15","5.95","47.16","46.24","2.22","4.53","2.10","9.24"
"Pantheon","JUNGLE","Weak","41.05","-0.62","47.41","22.32","1.07","4.17","2.26","9.24"
"Poppy","TOP","Fair","44.58","5.19","49","57.45","1.71","0.45","2.25","9.24"
"Poppy","JUNGLE","Weak","42.12","-1","47.79","21.7","0.66","0.45","2.46","9.24"
"Poppy","SUPPORT","Bad","31.58","-2.4","46.43","14.55","0.38","0.44","2.12","9.24"
"Pyke","SUPPORT","Strong","61.62","8","45.87","87.58","10.99","16.55","2.14","9.24"
"Qiyana","MID","Good","51.5","0.2","48.9","62.11","5.38","11.02","2.29","9.24"
"Qiyana","JUNGLE","Bad","34.91","1.66","43.22","29.46","2.68","11.02","1.99","9.24"
"Quinn","TOP","Good","50.74","1.38","52.25","73.87","2.48","2.42","1.94","9.24"
"Quinn","MID","Good","49.31","0.64","54.67","14.8","0.47","2.56","2.23","9.24"
"Rakan","SUPPORT","Strong","60.31","3.47","51.68","96.88","6.19","0.94","3.08","9.24"
"Rammus","JUNGLE","Good","54.01","5.97","52.47","90.09","2.69","4.1","2.61","9.24"
"Rek'Sai","JUNGLE","Good","53.98","0.43","50.54","98.02","5.32","4.26","2.55","9.24"
"Renekton","TOP","Strong","54.52","-4.23","48.46","80.75","5.95","7.2","2.02","9.24"
"Renekton","MID","Fair","46.2","-0.92","50.8","17.97","1.27","7.2","2.31","9.24"
"Rengar","JUNGLE","Good","48.66","0.59","49.61","65.6","4.12","6.9","2.13","9.24"
"Rengar","TOP","Fair","47.81","8.03","51.21","29.12","1.94","6.9","1.95","9.24"
"Riven","TOP","Good","53.21","-2.59","49.83","82.4","4.94","3.22","1.96","9.24"
"Riven","MID","Fair","46.02","-0.72","51.75","13.08","0.79","3.22","2.18","9.24"
"Rumble","MID","Good","51.64","3.2","53.7","37.97","1.38","0.56","2.76","9.24"
"Rumble","TOP","Fair","47.51","8.53","50.02","55.79","1.98","0.56","2.33","9.24"
"Ryze","MID","Good","52.49","-12.52","47.89","57.89","7.54","9.3","2.08","9.24"
"Ryze","TOP","Fair","47.69","-24.68","46.18","39.93","5.34","9.3","1.73","9.24"
"Sejuani","JUNGLE","Fair","43.81","1.16","47.6","93.1","1.31","0.23","2.71","9.24"
"Senna","SUPPORT","God ","86.93","-8.06","49.29","62.7","12.4","37.45","2.68","9.24"
"Senna","ADC","Good","52.77","-29.77","49.66","28.1","5.18","37.45","3.08","9.24"
"Shaco","JUNGLE","Strong","59.68","0.82","52.84","75.51","5.64","11.36","2.70","9.24"
"Shaco","SUPPORT","Fair","44.76","-9.18","50.47","18.95","1.45","11.36","2.63","9.24"
"Shen","TOP","Strong","58.01","2.94","51.66","71.22","3.54","0.39","2.99","9.24"
"Shen","SUPPORT","Weak","38.21","-3.39","48.2","19.14","0.76","0.39","2.62","9.24"
"Shyvana","JUNGLE","Weak","43.7","-7.45","48.22","87.62","1.79","0.34","2.32","9.24"
"Singed","TOP","Good","48.98","2.05","51.83","82.42","2.2","0.51","1.91","9.24"
"Sion","MID","Fair","45.95","0.16","52.23","11.65","0.24","0.15","2.24","9.24"
"Sion","TOP","Weak","41.25","1.57","47.99","72.59","1.46","0.15","2.08","9.24"
"Sion","SUPPORT","Bad","31.95","-8.76","47.15","10.86","0.22","0.16","1.97","9.24"
"Sivir","ADC","Weak","40.5","6.96","49.62","94.94","3.22","0.43","2.58","9.24"
"Skarner","TOP","Good","51.81","0","54.06","31.99","0.38","0.17","2.58","9.24"
"Skarner","JUNGLE","Good","49.03","-0.01","51.58","62.05","0.68","0.17","2.48","9.24"
"Sona","SUPPORT","Good","48.95","-2.5","51.76","95.8","2.13","0.14","2.73","9.24"
"Soraka","SUPPORT","God ","68.07","9.94","51.86","94.7","9.56","1.88","2.85","9.24"
"Swain","MID","Good","49.18","0.75","52.2","18.73","1.05","2.35","2.74","9.24"
"Swain","SUPPORT","Good","48.81","-1.27","50.64","62.69","3.44","2.03","2.44","9.24"
"Swain","TOP","Weak","41.61","2.69","48.64","12.59","0.66","2.18","2.31","9.24"
"Sylas","MID","Bad","37.38","-1.55","43.66","63.09","2.09","0.94","2.02","9.24"
"Sylas","TOP","Bad","31.82","9.02","44.39","22.31","0.68","0.94","1.87","9.24"
"Sylas","JUNGLE","Bad","31.72","3.82","43.17","12.18","0.35","0.99","2.10","9.24"
"Syndra","MID","Good","53.27","1.59","50.78","75.09","5.59","2.73","2.38","9.24"
"Syndra","ADC","Bad","35.79","7.33","49.41","13.38","1.21","2.73","2.45","9.24"
"Tahm Kench","TOP","Bad","35.64","4.59","46.36","30.53","0.41","0.34","2.06","9.24"
"Tahm Kench","SUPPORT","Bad","30.93","-6.33","44.75","72.06","1.34","0.4","2.19","9.24"
"Taliyah","JUNGLE","Fair","48.56","0.13","50.4","64.99","1.38","0.18","2.64","9.24"
"Taliyah","MID","Fair","47.16","1.24","51.71","23.59","0.43","0.18","2.63","9.24"
"Talon","MID","Good","50.67","0.84","50.08","87.42","4.67","5.37","2.26","9.24"
"Taric","MID","God ","65.09","-0.02","64.05","11.68","0.22","0.32","3.38","9.24"
"Taric","SUPPORT","Good","51.11","-1.31","53.15","81.7","1.64","0.35","2.87","9.24"
"Teemo","TOP","Strong","56.89","-7.24","50.62","75.98","5.66","8.02","1.80","9.24"
"Teemo","MID","Fair","45.58","0","51.9","10.12","0.75","8.87","2.01","9.24"
"Thresh","SUPPORT","God ","90.85","18.65","48.95","95.06","19.79","9.02","2.64","9.24"
"Tristana","ADC","Fair","46.47","-0.52","49.43","78.54","7.24","1.51","2.45","9.24"
"Tristana","MID","Weak","40.82","-2.31","47.01","14.61","1.17","1.51","2.20","9.24"
"Trundle","JUNGLE","Fair","45.61","-1.1","49.28","61.26","1.26","0.18","2.47","9.24"
"Trundle","TOP","Weak","37.79","6.76","48.05","32.07","0.7","0.21","1.78","9.24"
"Tryndamere","TOP","Good","50.34","2.82","49.22","78.34","4.58","6.1","1.73","9.24"
"Tryndamere","MID","Fair","47.89","2.98","54.06","11.98","0.68","6.07","1.97","9.24"
"Tryndamere","JUNGLE","Bad","35.2","-1.76","45.46","11.35","0.79","6.27","1.84","9.24"
"Twisted Fate","MID","Fair","47.97","-2.68","49.2","86.89","3.42","0.47","2.44","9.24"
"Twitch","JUNGLE","Fair","45.77","4.49","49.18","48.15","2.13","1.01","2.30","9.24"
"Twitch","ADC","Weak","39.02","-1.46","49.95","48.44","2.42","1.02","2.45","9.24"
"Udyr","JUNGLE","Fair","45.36","-2.61","49.93","87.28","2","0.79","1.97","9.24"
"Urgot","TOP","Fair","48.56","2.85","50.53","85.25","2.6","1.75","2.04","9.24"
"Varus","ADC","Weak","38.5","7.32","48.97","91.07","3.69","0.25","2.35","9.24"
"Vayne","ADC","Strong","57.96","-2.47","51.49","75.13","11.18","8.4","2.21","9.24"
"Vayne","TOP","Fair","44.78","6.02","49.6","19.28","2.51","8.4","1.59","9.24"
"Veigar","MID","Good","52.17","0.72","50.81","59.39","4.82","3.02","2.39","9.24"
"Veigar","ADC","Weak","40.84","10.05","51.97","18.75","0.97","3.02","2.47","9.24"
"Veigar","SUPPORT","Bad","33.34","-6.5","46.34","16.77","1.39","3.21","1.98","9.24"
"Vel'Koz","MID","Good","52.89","2.74","54.33","39.64","1.6","0.67","2.80","9.24"
"Vel'Koz","SUPPORT","Fair","47.32","-2.33","51.58","52.2","2.35","0.67","2.31","9.24"
"Vi","JUNGLE","Good","52.49","-0.81","51.59","96.14","4.36","0.9","2.20","9.24"
"Viktor","MID","Fair","48.41","-0.06","51.59","80.27","1.75","0.2","2.47","9.24"
"Viktor","TOP","Fair","45.16","9.75","51.82","15.64","0.31","0.21","2.11","9.24"
"Vladimir","TOP","Strong","56.7","0.31","50.61","49.76","5.08","11.05","2.04","9.24"
"Vladimir","MID","Strong","55.91","3.18","52.86","48.36","5.12","11.05","2.39","9.24"
"Volibear","TOP","Good","49.87","6.24","52.37","34.01","1.03","0.59","2.46","9.24"
"Volibear","JUNGLE","Fair","48.01","-0.59","49.9","46.43","1.95","0.64","2.55","9.24"
"Volibear","SUPPORT","Bad","33.71","-7.68","47.22","18.76","0.43","0.64","2.23","9.24"
"Warwick","JUNGLE","Strong","57.67","1.06","52.09","87.81","7.03","3.38","2.31","9.24"
"Wukong","MID","Good","49.75","2.57","54.37","23.49","0.46","0.25","2.44","9.24"
"Wukong","TOP","Fair","44.65","3.92","51.17","31.68","0.55","0.25","2.11","9.24"
"Wukong","JUNGLE","Weak","42.16","5.15","48.57","40.71","0.87","0.25","2.12","9.24"
"Xayah","ADC","Fair","48.38","-6.18","48.78","96.64","9.15","3.4","2.37","9.24"
"Xerath","MID","Good","49.07","-0.02","49.52","50.34","2.35","0.95","3.04","9.24"
"Xerath","SUPPORT","Fair","45.11","-1.68","50.12","45.21","2.12","0.95","2.58","9.24"
"Xin Zhao","JUNGLE","Fair","48.11","0.29","50.09","91.71","3.37","0.6","2.11","9.24"
"Yasuo","MID","God ","81.27","1.13","49.7","61.53","14.24","42.93","1.86","9.24"
"Yasuo","TOP","Strong","61.32","-10.04","49.03","21.47","5.14","42.93","1.68","9.24"
"Yasuo","ADC","Weak","41.63","2.5","49.82","15.27","3.15","42.93","2.07","9.24"
"Yorick","TOP","Good","51.74","4.61","53.32","88.82","2.22","1.23","1.92","9.24"
"Yuumi","SUPPORT","Fair","48.12","9.17","46.42","95.75","3.67","2.46","4.03","9.24"
"Zac","JUNGLE","Strong","57.22","-1.02","51.4","86.9","3.85","1.41","3.40","9.24"
"Zed","MID","God ","63.74","-0.14","48.87","91","9.7","29.63","2.24","9.24"
"Ziggs","MID","Weak","43.41","1.13","48.43","70.19","1.25","0.15","2.39","9.24"
"Ziggs","ADC","Bad","30.47","0","47.58","12.23","0.16","0.16","2.52","9.24"
"Ziggs","SUPPORT","Bad","26.51","-11.63","44.36","12.1","0.22","0.17","1.97","9.24"
"Zilean","MID","Strong","54.3","1.08","54.91","18.07","0.54","0.59","3.39","9.24"
"Zilean","SUPPORT","Good","51.89","-2.63","52.43","76.38","2.37","0.59","2.96","9.24"
"Zoe","MID","Fair","48.19","-1.48","48.47","87.47","3.79","2.64","2.54","9.24"
